,property_sub_type_en,property_usage_en,reg_type_en,area_name_en,transaction_id,trans_group_en,procedure_name_en,project_name_en,master_project_en,nearest_landmark_en,nearest_metro_en,nearest_mall_en,rooms_en,has_parking,procedure_area,actual_worth,meter_sale_price,rent_value,meter_rent_price,building_name_en,property_type_en,instance_date
0,,Commercial,Existing Properties,Al Muteena,1-11-2004-2099,Sales,Sell,,,Dubai International Airport,Salah Al Din Metro Station,Dubai Mall,,0,860.28,4500000.0,5230.86,,,,Villa,04-10-2004
1,Flat,Residential,Existing Properties,Burj Khalifa,1-11-2011-6898,Sales,Sell,BURJ KHALIFA TOWERS,Burj Khalifa,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1 B/R,1,89.93,2008888.0,22338.35,,,Burj Khalifa,Unit,21-04-2011
2,Flat,Residential,Existing Properties,Al Warsan First,1-11-2008-203212,Sales,Sell,,International City Phase 1,,Rashidiya Metro Station,City Centre Mirdif,1 B/R,0,67.0,330000.0,4925.37,,,N-09,Unit,11-06-2008
3,Flat,Residential,Existing Properties,Al Thanyah Fifth,1-11-2010-15769,Sales,Sell,,Jumeirah Lakes Towers,Burj Al Arab,Damac Properties,Marina Mall,1 B/R,1,100.8,928756.0,9213.85,,,GREEN LAKES S1,Unit,25-10-2010
4,Flat,Residential,Existing Properties,Al Warsan First,1-110-2010-557,Sales,Lease to Own Registration,,International City Phase 1,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,Studio,0,43.0,290000.0,6744.19,,,X-23,Unit,24-03-2010
5,Flat,Residential,Existing Properties,Al Thanyah Fifth,1-11-2008-211116,Sales,Sell,SABA TOWER 2,Jumeirah Lakes Towers,Burj Al Arab,Damac Properties,Marina Mall,2 B/R,1,137.45,796970.0,5798.25,,,SABA 2,Unit,18-12-2008
6,Flat,Residential,Existing Properties,Me'Aisem First,1-11-2010-3056,Sales,Sell,THE CRESCENT,International Media Production Zone,Sports City Swimming Academy,Damac Properties,Marina Mall,Studio,1,47.65,519000.0,10891.92,,,THE CRESCENT  B,Unit,10-03-2010
7,Flat,Residential,Existing Properties,Marsa Dubai,1-11-2009-214345,Sales,Sell,,Jumeriah Beach Residence  - JBR,Burj Al Arab,Jumeirah Beach Resdency,Marina Mall,3 B/R,1,178.52,699000.0,3915.53,,,Murjan 1,Unit,20-07-2009
8,Flat,Residential,Existing Properties,Marsa Dubai,2-110-2012-453,Mortgages,Lease to Own Registration,,Dubai Marina,Burj Al Arab,Marina Towers,Marina Mall,3 B/R,1,313.44,1860000.0,5934.15,1860000.0,5934.15,AL MASS VILLA,Unit,23-04-2012
9,Flat,Residential,Existing Properties,Wadi Al Safa 5,1-11-2013-26564,Sales,Sell,SKY COURTS,Residential Complex,IMG World Adventures,,,2 B/R,1,117.19,835575.0,7130.1,,,Skycourts Tower B,Unit,09-09-2013
10,Flat,Residential,Existing Properties,Marsa Dubai,1-110-2014-1257,Sales,Lease to Own Registration,MARINA PINNACLE,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,1 B/R,1,77.81,1250000.0,16064.77,,,Marina Pinnacle,Unit,16-06-2014
11,,Residential,Existing Properties,Jabal Ali First,2-13-2014-3052,Mortgages,Mortgage Registration,AL FURJAN,Al Furjan,Expo 2020 Site,Ibn Battuta Metro Station,Ibn-e-Battuta Mall,,0,224.0,2300000.0,10267.86,,,,Villa,14-04-2014
12,Flat,Residential,Off-Plan Properties,Al Khairan First,1-102-2015-1532,Sales,Sell - Pre registration,THE DUBAI CREEK RESIDENCES,The Lagoons,Dubai International Airport,Creek Metro Station,Dubai Mall,3 B/R,1,199.77,3655888.0,18300.49,,,THE DUBAI CREEK RESIDENCES - NORTH TOWER 1,Unit,10-02-2015
13,,Commercial,Existing Properties,Al Warsan First,1-41-2015-3894,Sales,Delayed Sell,WARSAN VILLAGE A,International City Phase 1,,Rashidiya Metro Station,City Centre Mirdif,,0,154.0,1746000.0,11337.66,,,,Villa,02-07-2015
14,Flat,Residential,Existing Properties,Nadd Hessa,1-11-2015-5339,Sales,Sell,SAPPHIRE RESIDENCE,Silicon Oasis,IMG World Adventures,,,1 B/R,1,71.83,800000.0,11137.41,,,Sapphire Residence,Unit,24-03-2015
15,Flat,Residential,Existing Properties,Al Jadaf,1-11-2016-15453,Sales,Sell,D1,Culture Village,Dubai International Airport,Al Jadaf Metro Station,City Centre Mirdif,3 B/R,1,174.85,3275000.0,18730.34,,,D1,Unit,26-12-2016
16,Flat,Residential,Off-Plan Properties,Al Khairan First,1-102-2017-14200,Sales,Sell - Pre registration,The Cove,The Lagoons,Dubai International Airport,Creek Metro Station,Dubai Mall,1 B/R,1,67.46,1072888.0,15904.06,,,THE COVE Building 2,Unit,31-07-2017
17,Villa,Residential,Off-Plan Properties,Madinat Al Mataar,1-102-2019-1940,Sales,Sell - Pre registration,Parkside,Dubai World Central,Al Makhtoum International Airport,,,3 B/R,0,130.05,1059888.0,8149.85,,,,Villa,13-02-2019
18,Villa,Residential,Existing Properties,Dubai Investment Park First,2-39-2020-238,Mortgages,Development Mortgage,,Dubai Investment Park First,Expo 2020 Site,DANUBE Metro Station,Ibn-e-Battuta Mall,4 B/R,0,971.75,2200000.0,2263.96,,,,Villa,19-10-2020
19,Villa,Residential,Existing Properties,Wadi Al Safa 6,2-13-2021-896,Mortgages,Mortgage Registration,,Arabian Ranches - Palmera - IV,Motor City,,,2 B/R,0,180.24,1235968.0,6857.35,,,,Villa,25-01-2021
20,Villa,Residential,Existing Properties,Wadi Al Safa 6,2-13-2022-18993,Mortgages,Mortgage Registration,,Arabian Ranches - Al Reem 3,Global Village,,,2 B/R,0,172.18,1440000.0,8363.34,,,,Villa,05-12-2022
21,Flat,Residential,Off-Plan Properties,Al Thanyah Fifth,1-102-2023-4596,Sales,Sell - Pre registration,SEVEN CITY JLT,Jumeirah Islands,Burj Al Arab,Damac Properties,Marina Mall,Studio,1,35.67,557417.0,15627.05,,,Seven City JLT,Unit,30-01-2023
22,,Residential,Existing Properties,Al Hebiah Fourth,2-13-2024-3832,Mortgages,Mortgage Registration,BLOOMINGDALE,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,,0,193.52,3000000.0,15502.27,,,,Villa,22-02-2024
23,Flat,Residential,Off-Plan Properties,Ras Al Khor Industrial First,1-102-2024-29707,Sales,Sell - Pre registration,SOBHA ONE,,,,,1 B/R,1,68.14,1697937.0,24918.36,,,Sobha One - E,Unit,08-05-2024
24,Flat,Residential,Existing Properties,Marsa Dubai,3-9-2024-2709,Gifts,Grant,,Dubai Marina,Burj Al Arab,Dubai Marina,Marina Mall,2 B/R,1,149.46,2900616.0,19407.31,,,Al Dar Tower,Unit,28-05-2024
25,Flat,Residential,Existing Properties,Al Warsan First,1-11-2011-7517,Sales,Sell,,International City Phase 1,,Rashidiya Metro Station,City Centre Mirdif,2 B/R,0,112.0,475000.0,4241.07,,,S-06,Unit,03-05-2011
26,Flat,Residential,Existing Properties,Marsa Dubai,2-13-2013-2443,Mortgages,Mortgage Registration,,Dubai Marina,Burj Al Arab,Jumeirah Lakes Towers,Marina Mall,2 B/R,1,147.81,1600000.0,10824.71,,,Al Majara 1,Unit,22-04-2013
27,,Residential,Existing Properties,Al Garhoud,3-9-2013-278,Gifts,Grant,,,Dubai International Airport,Airport Terminal 1 Metro Station,City Centre Mirdif,,0,929.03,4203798.0,4524.93,,,,Villa,11-04-2013
28,Hotel Apartment,Hospitality ,Off-Plan Properties,Burj Khalifa,1-102-2012-5045,Sales,Sell - Pre registration,THE ADDRESS - THE BLVD,Burj Khalifa,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1 B/R,1,81.98,1709888.0,20857.38,,,The Address - The BLVD,Unit,22-11-2012
29,Hotel Apartment,Hospitality ,Off-Plan Properties,Burj Khalifa,1-102-2014-8707,Sales,Sell - Pre registration,THE ADDRESS RESIDENCE - SKY VIEW,Burj Khalifa,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,3 B/R,1,220.74,6626888.0,30021.24,,,Address Residences Sky View 2,Unit,04-08-2014
30,Flat,Residential,Existing Properties,Al Barshaa South Third,1-41-2015-6521,Sales,Delayed Sell,LINCOLN PARK (SHEFFIELD),Arjan,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,Studio,1,56.58,609030.0,10764.05,,,Lincoln Park- Sheffield,Unit,19-10-2015
31,,Residential,Existing Properties,Al Yufrah 3,1-41-2017-5833,Sales,Delayed Sell,DAMAC HILLS (2) - BASSWOOD ,DAMAC HILLS 2,Dubai Cycling Course,,,,0,190.74,1127000.0,5908.57,,,,Land,11-12-2017
32,,Residential,Existing Properties,Al Hebiah Third,2-13-2021-12893,Mortgages,Mortgage Registration,DAMAC HILLS -  RICHMOND ,DAMAC HILLS,Motor City,,,,0,253.58,1763750.0,6955.4,,,,Villa,12-10-2021
33,Flat,Residential,Off-Plan Properties,Business Bay,1-102-2022-9780,Sales,Sell - Pre registration,Peninsula Two,Business Bay,Downtown Dubai,Business Bay Metro Station,Dubai Mall,Studio,1,39.49,786000.0,19903.77,,,Peninsula Two,Unit,12-04-2022
34,Flat,Residential,Existing Properties,Al Hebiah Fifth,1-11-2023-30212,Sales,Sell,Remraam - Al Ramth,Remraam,Motor City,,,1 B/R,1,53.87,531000.0,9857.06,,,AL RAMTH 11,Unit,21-09-2023
35,Flat,Residential,Off-Plan Properties,Hadaeq Sheikh Mohammed Bin Rashid,1-102-2023-56228,Sales,Sell - Pre registration,Lime Gardens ,DUBAI HILLS - PARK,Motor City,First Abu Dhabi Bank Metro Station,Mall of the Emirates,1 B/R,1,60.29,1300000.0,21562.45,,,Lime Gardens,Unit,24-10-2023
36,Flat,Residential,Existing Properties,Burj Khalifa,2-110-2009-202915,Mortgages,Lease to Own Registration,,Burj Khalifa,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1 B/R,1,95.23,940888.0,9880.16,940888.0,9880.16,South Ridge 3,Unit,24-11-2009
37,Flat,Residential,Existing Properties,Business Bay,1-41-2009-201685,Sales,Delayed Sell,,Business Bay,Burj Khalifa,Business Bay Metro Station,Dubai Mall,3 B/R,1,171.68,2483389.0,14465.22,,,EAST HEIGHTS 2,Unit,10-12-2009
38,Flat,Residential,Existing Properties,Marsa Dubai,1-11-2013-6996,Sales,Sell,23 MARINA,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,3 B/R,1,276.82,2900000.0,10476.12,,,23 MARINA,Unit,07-03-2013
39,Office,Commercial,Existing Properties,Al Thanyah Fifth,1-110-2013-1405,Sales,Lease to Own Registration,PLATINUM TOWER,Jumeirah Lakes Towers,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,Office,1,106.96,1137825.0,10637.86,,,PLATINUM TOWER,Unit,01-07-2013
40,Flat,Residential,Off-Plan Properties,Al Hebiah Fourth,1-102-2011-4620,Sales,Sell - Pre registration,RED RESIDENCE,Dubai Sports City,Sports City Swimming Academy,Dubai Internet City,Marina Mall,2 B/R,1,103.77,1262751.0,12168.75,,,RED RESIDENCE,Unit,27-10-2011
41,Flat,Residential,Off-Plan Properties,Al Hebiah Fifth,1-102-2008-24113,Sales,Sell - Pre registration,REMRAAM,Remraam,Motor City,,,3 B/R,1,143.72,1364163.0,9491.81,,,AL THAMAM 51,Unit,09-04-2009
42,Flat,Residential,Existing Properties,Al Thanyah Fifth,1-11-2015-827,Sales,Sell,JUMEIRAH HEIGHTS CLUSTERS,Jumeirah Heights,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,2 B/R,1,196.99,2600000.0,13198.64,,,JHCED,Unit,14-01-2015
43,Flat,Residential,Off-Plan Properties,Al Yelayiss 2,1-102-2016-12210,Sales,Sell - Pre registration,TOWN SQUARE JENNA AND WARDA,TOWN SQUARE,Dubai Cycling Course,,,3 B/R,1,125.45,1500888.0,11964.03,,,Town Square Jenna 2,Unit,05-09-2016
44,Flat,Residential,Existing Properties,Burj Khalifa,1-11-2017-11510,Sales,Sell,,Burj Khalifa,Downtown Dubai,Business Bay Metro Station,Dubai Mall,1 B/R,1,120.5,1289079.0,10697.75,,,8 BLVD WALK,Unit,13-09-2017
45,Flat,Residential,Existing Properties,Al Warsan First,1-110-2018-743,Sales,Lease to Own Registration,CLASSIC APARTMENTS,International City Phase 1,,Rashidiya Metro Station,City Centre Mirdif,1 B/R,1,97.64,550000.0,5632.94,,,CLASSIC APARTMENT,Unit,19-11-2018
46,Flat,Residential,Existing Properties,Al Barsha South Fourth,1-11-2019-8091,Sales,Sell,KNIGHT BRIDGE COURT & KENSNGTON MANOR,Jumeirah Village Circle,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,Studio,1,37.9,225000.0,5936.68,,,KNIGHTSBRIDGE COURT,Unit,09-09-2019
47,,Commercial,Existing Properties,Al Warsan First,1-11-2021-3258,Sales,Sell,WARSAN VILLAGE - B & C,International City Phase 1,,Rashidiya Metro Station,City Centre Mirdif,,0,154.0,1350000.0,8766.23,,,,Villa,01-03-2021
48,Flat,Residential,Existing Properties,Madinat Al Mataar,1-11-2022-5014,Sales,Sell,The Pulse Boulevard Apartments,Dubai South Residential District,Expo 2020 Site,,,2 B/R,1,112.89,643000.0,5695.81,,,The Pulse Boulevard Apartments (C2),Unit,14-03-2022
49,Shop,Commercial,Existing Properties,Al Warsan First,1-11-2022-32235,Sales,Sell,,International City Phase 1,,Rashidiya Metro Station,City Centre Mirdif,Shop,0,99.65,650000.0,6522.83,,,N 05,Unit,20-12-2022
50,Villa,Residential,Existing Properties,Wadi Al Safa 5,2-190-2024-937,Mortgages,Delayed Mortgage,La Rosa Phase 2,,IMG World Adventures,,,3 B/R,0,161.0,2000000.0,12422.36,,,,Villa,01-05-2024
51,Flat,Residential,Off-Plan Properties,Al Merkadh,2-105-2024-212,Mortgages,Mortgage Pre-Registration,Azizi Riviera 23,,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Studio,1,29.68,275069.0,9267.82,,,Azizi Riviera 23,Unit,06-06-2024
52,Shop,Commercial,Off-Plan Properties,Wadi Al Safa 3,1-102-2024-35992,Sales,Sell - Pre registration,DEANSGATE by ADE,Majan,IMG World Adventures,,,,1,45.86,789808.0,17222.15,,,DEANSGATE by ADE,Unit,27-05-2024
53,,Commercial,Existing Properties,Al Thanyah Fifth,1-41-2011-922,Sales,Delayed Sell,JUMEIRAH PARK ,Jumeirah Park,Sports City Swimming Academy,Harbour Tower,Marina Mall,,0,806.2,3100000.0,3845.2,,,,Villa,07-03-2011
54,Flat,Residential,Existing Properties,Marsa Dubai,1-11-2011-16867,Sales,Sell,,Dubai Marina,Burj Al Arab,Marina Towers,Marina Mall,2 B/R,1,107.7,645742.0,5995.75,,,MARINA HEIGHTS 1,Unit,28-11-2011
55,,Residential,Existing Properties,Al Waheda,1-11-2006-773,Sales,Sell,,,Dubai International Airport,Abu Hail Metro Station,,,0,630.16,1220940.0,1937.51,,,,Land,15-05-2006
56,Flat,Residential,Existing Properties,Marsa Dubai,1-11-2008-202580,Sales,Sell,,Jumeriah Beach Residence  - JBR,Burj Al Arab,Jumeirah Beach Resdency,Marina Mall,3 B/R,1,176.79,875000.0,4949.37,,,Sadaf 8,Unit,13-05-2008
57,,Residential,Existing Properties,Al Barsha Third,2-13-2001-681,Mortgages,Mortgage Registration,,,Burj Al Arab,Dubai Internet City,Mall of the Emirates,,0,1393.55,500000.0,358.8,,,,Villa,14-08-2001
58,,Commercial,Existing Properties,Al Suq Al Kabeer,2-13-2005-792,Mortgages,Mortgage Registration,,,Dubai International Airport,Al Fahidi Metro Station,Dubai Mall,,0,485.23,4720000.0,9727.35,,,,Building,24-08-2005
59,,Residential,Existing Properties,Al Barsha South Fifth,2-190-2009-27,Mortgages,Delayed Mortgage,,Jumeirah Village Triangle,Sports City Swimming Academy,Damac Properties,Marina Mall,,0,712.37,1162500.0,1631.88,,,,Villa,24-09-2009
60,,Commercial,Existing Properties,Al Thanyah Fifth,1-11-2007-2025,Sales,Sell,,Jumeirah Islands,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,,0,1305.29,2400000.0,1838.67,,,,Villa,23-07-2007
61,Flat,Residential,Existing Properties,Al Hebiah Fourth,1-41-2010-882,Sales,Delayed Sell,HUB CANAL 2 TOWER,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1 B/R,1,98.43,1087037.0,11043.76,,,Hub Canal 2,Unit,11-03-2010
62,Flat,Residential,Existing Properties,Burj Khalifa,1-41-2013-3349,Sales,Delayed Sell,THE SIGNATURE,Burj Khalifa,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1 B/R,1,82.3,1788000.0,21725.39,,,THE SIGNATURE,Unit,22-10-2013
63,Office,Commercial,Existing Properties,Business Bay,1-11-2014-17319,Sales,Sell,BURLINGTON TOWER,Business Bay,Downtown Dubai,Business Bay Metro Station,Dubai Mall,Office,1,75.77,1177760.0,15543.88,,,BURLINGTON TOWER,Unit,08-07-2014
64,Flat,Residential,Existing Properties,Al Hebiah Fourth,1-41-2016-2127,Sales,Delayed Sell,ROYALE RESIDENCE2,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1 B/R,1,86.46,605124.0,6998.89,,,Royale Residence 2,Unit,20-04-2016
65,Flat,Residential,Off-Plan Properties,Business Bay,1-102-2016-13019,Sales,Sell - Pre registration,AG TOWER,Business Bay,Downtown Dubai,Business Bay Metro Station,Dubai Mall,Studio,1,43.06,706555.0,16408.62,,,AG TOWER,Unit,29-09-2016
66,Flat,Residential,Existing Properties,Al Warsan First,1-11-2018-3253,Sales,Sell,,International City Phase 1,,Rashidiya Metro Station,City Centre Mirdif,Studio,0,45.0,304000.0,6755.56,,,U-07,Unit,26-03-2018
67,Villa,Residential,Off-Plan Properties,Wadi Al Safa 5,1-102-2018-10735,Sales,Sell - Pre registration,AMARANTA 2 ,,IMG World Adventures,,,3 B/R,0,180.86,1388000.0,7674.44,,,,Villa,30-07-2018
68,Flat,Residential,Existing Properties,Al Jadaf,1-11-2018-7371,Sales,Sell,RIAH TOWERS,Culture Village,Dubai International Airport,Creek Metro Station,Dubai Mall,1 B/R,1,87.75,1227902.0,13993.19,,,RIAH TOWERS,Unit,24-07-2018
69,Villa,Residential,Existing Properties,Wadi Al Safa 6,1-11-2020-12479,Sales,Sell,,Arabian Ranches - Palmera - III,Motor City,,,2 B/R,0,283.33,2250000.0,7941.27,,,,Villa,21-12-2020
70,Flat,Residential,Off-Plan Properties,Burj Khalifa,1-102-2021-8862,Sales,Sell - Pre registration,FORTE,Burj Khalifa,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1 B/R,1,66.0,1625888.0,24634.67,,,Forte T2,Unit,14-06-2021
71,,Residential,Existing Properties,Al Hebiah Sixth,2-110-2022-437,Mortgages,Lease to Own Registration,ARABELLA 2 - TOWNHOUSES AT MUDON,Mudon,Dubai Cycling Course,,,,0,187.21,600000.0,3204.96,600000.0,3204.96,,Villa,03-10-2022
72,Flat,Residential,Existing Properties,Burj Khalifa,3-9-2023-337,Gifts,Grant,Boulevard Point,Burj Khalifa,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1 B/R,1,78.1,1598116.0,20462.44,,,Boulevard Point,Unit,30-01-2023
73,,Commercial,Existing Properties,Jabal Ali First,1-41-2023-18937,Sales,Delayed Sell,Murooj Al Furjan 2 ,Al Furjan,,,,,0,612.75,5500000.0,8975.93,,,,Land,27-09-2023
74,Flat,Residential,Existing Properties,Al Warsan First,1-11-2023-32976,Sales,Sell,,International City Phase 1,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,1 B/R,0,67.0,310000.0,4626.87,,,Y-09,Unit,13-10-2023
75,Flat,Residential,Existing Properties,Business Bay,2-13-2024-3161,Mortgages,Mortgage Registration,HAMILTON RESIDENCY,Business Bay,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1 B/R,1,50.21,560000.0,11153.16,,,HAMILTON  RESIDENCY,Unit,14-02-2024
76,Hotel Apartment,Hospitality ,Off-Plan Properties,Al Safouh First,1-102-2024-30097,Sales,Sell - Pre registration,Biltmore Sufouh,TECOM Site B,Burj Al Arab,Dubai Internet City,Mall of the Emirates,2 B/R,1,110.92,2452585.0,22111.3,,,Biltmore Sufouh,Unit,09-05-2024
77,Flat,Residential,Existing Properties,Burj Khalifa,1-110-2010-616,Sales,Lease to Own Registration,,Burj Khalifa,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,2 B/R,1,126.81,1639888.0,12931.85,,,Residences_E2,Unit,05-04-2010
78,Flat,Residential,Existing Properties,Marsa Dubai,2-13-2010-5207,Mortgages,Mortgage Registration,ZUMURUD DUBAI MARINA,Dubai Marina,Sports City Swimming Academy,Jumeirah Beach Residency,Marina Mall,1 B/R,1,75.65,828879.0,10956.76,,,ZUMURUD,Unit,04-10-2010
79,Flat,Residential,Existing Properties,Business Bay,1-41-2014-6507,Sales,Delayed Sell,WATER'S EDGE,Business Bay,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,3 B/R,1,194.33,3676033.0,18916.45,,,WATER'S EDGE,Unit,10-12-2014
80,Flat,Residential,Existing Properties,Al Warsan First,1-11-2015-3095,Sales,Sell,,International City Phase 1,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,Studio,0,43.0,375000.0,8720.93,,,X-23,Unit,16-02-2015
81,,Residential,Existing Properties,Wadi Al Safa 3,1-41-2006-84,Sales,Delayed Sell,LIVING LEGENDS PHASE 3,Living Legends,Global Village,,,,0,768.81,4175765.0,5431.47,,,,Villa,17-02-2010
82,Flat,Residential,Existing Properties,Dubai Investment Park First,1-45-2018-45,Sales,Sell Development,,Dubai Investment Park First,Expo 2020 Site,DANUBE Metro Station,Ibn-e-Battuta Mall,1 B/R,1,90.67,875000.0,9650.38,,,GARDEN APARTMENTS WEST E,Unit,24-01-2018
83,,Residential,Existing Properties,Hadaeq Sheikh Mohammed Bin Rashid,1-41-2018-3399,Sales,Delayed Sell,Parkway Vistas ,DUBAI HILLS - PARKWAY VISTAS,IMG World Adventures,Noor Bank Metro Station,Mall of the Emirates,,0,1201.68,16718888.0,13912.93,,,,Villa,21-11-2018
84,,Residential,Existing Properties,Wadi Al Safa 6,2-13-2018-8945,Mortgages,Mortgage Registration,,Arabian Ranches - Saheel,Motor City,First Abu Dhabi Bank Metro Station,Mall of the Emirates,,0,614.92,2695000.0,4382.68,,,,Villa,22-11-2018
85,Flat,Residential,Off-Plan Properties,Al Khairan First,1-102-2020-12654,Sales,Sell - Pre registration,Palace Residences - Dubai Creek Harbour,The Lagoons,Dubai International Airport,Creek Metro Station,City Centre Mirdif,1 B/R,1,65.81,1046888.0,15907.73,,,Palace Residences,Unit,01-10-2020
86,Flat,Residential,Existing Properties,Al Warsan First,1-11-2021-9293,Sales,Sell,,International City Phase 1,,Rashidiya Metro Station,City Centre Mirdif,1 B/R,0,69.0,275000.0,3985.51,,,S-18,Unit,03-06-2021
87,Flat,Residential,Off-Plan Properties,Marsa Dubai,1-102-2021-17336,Sales,Sell - Pre registration,BEACH ISLE,,,,,2 B/R,1,120.67,2836888.0,23509.47,,,Beach Isle Tower 2,Unit,29-09-2021
88,Villa,Residential,Existing Properties,Al Thanayah Fourth,2-13-2021-11028,Mortgages,Mortgage Registration,Emirates Living - Springs 4,Springs - 5,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,3 B/R,0,251.43,1972000.0,7843.14,,,,Villa,01-09-2021
89,Flat,Residential,Existing Properties,Marsa Dubai,2-13-2022-572,Mortgages,Mortgage Registration,MARINA QUAYS,Dubai Marina,Burj Al Arab,Jumeirah Beach Resdency,Marina Mall,3 B/R,1,189.52,3182400.0,16791.9,,,Marina Quay East,Unit,19-01-2022
90,Villa,Residential,Existing Properties,Al Thanayah Fourth,2-13-2022-1773,Mortgages,Mortgage Registration,Emirates Living - Springs 11,Springs - 1,Sports City Swimming Academy,Damac Properties,Marina Mall,2 B/R,0,284.96,1512000.0,5306.01,,,,Villa,14-02-2022
91,Villa,Residential,Off-Plan Properties,Wadi Al Safa 4,1-102-2023-68476,Sales,Sell - Pre registration,California Village,,,,,3 B/R,0,232.66,2450000.0,10530.39,,,,Villa,26-12-2023
92,Flat,Residential,Existing Properties,Mirdif,1-41-2023-25410,Sales,Delayed Sell,MIRDIF HILLS- NASAYEM AVENUE,,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,2 B/R,1,137.26,1698253.0,12372.53,,,NASAYEM AVENUE 1,Unit,18-12-2023
93,Flat,Residential,Off-Plan Properties,Jabal Ali First,1-102-2024-21351,Sales,Sell - Pre registration,AMALIA RESIDENCES,Al Furjan,Expo 2020 Site,Ibn Battuta Metro Station,Ibn-e-Battuta Mall,1 B/R,1,95.61,892513.0,9334.93,,,AMALIA RESIDENCES,Unit,04-04-2024
94,Flat,Residential,Existing Properties,Al Thanyah Fifth,1-11-2013-4779,Sales,Sell,LAKESIDE RESIDENCE,Jumeirah Lakes Towers,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,1 B/R,1,74.39,816802.0,10980.0,,,Lakeside,Unit,08-04-2013
95,,Residential,Existing Properties,Al Barsha South Fifth,2-13-2013-5640,Mortgages,Mortgage Registration,,Jumeirah Village Triangle,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,,0,739.8,2465000.0,3331.98,,,,Villa,13-08-2013
96,Flat,Residential,Existing Properties,Burj Khalifa,2-810-2014-181,Mortgages,Lease Finance Registration,BURJ AL NUJOOM,Burj Khalifa,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1 B/R,1,76.11,814245.0,10698.27,,,Al NOUJOUM TOWER,Unit,07-08-2014
97,Workshop,Industrial,Off-Plan Properties,Jabal Ali First,1-102-2004-123,Sales,Sell - Pre registration,J&G PLEXS,DMCC-EZ2,Sports City Swimming Academy,Harbour Tower,Marina Mall,,1,50.0,181912.0,3638.24,,,J & G  BUILDING 2,Unit,22-01-2009
98,Office,Commercial,Off-Plan Properties,Business Bay,1-102-2007-11726,Sales,Sell - Pre registration,THE MERTOPOLIS,Business Bay,Downtown Dubai,Business Bay Metro Station,Dubai Mall,Office,1,82.41,1031902.0,12521.56,,,THE METROPOLIS,Unit,27-07-2009
99,Hotel Apartment,Hospitality ,Off-Plan Properties,Burj Khalifa,1-102-2012-4944,Sales,Sell - Pre registration,THE ADDRESS - THE BLVD,Burj Khalifa,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1 B/R,1,84.08,1797888.0,21383.06,,,The Address - The BLVD,Unit,21-11-2012
100,Flat,Residential,Existing Properties,Marsa Dubai,2-13-2018-4943,Mortgages,Mortgage Registration,SILVERENE,Dubai Marina,Burj Al Arab,Jumeirah Lakes Towers,Marina Mall,2 B/R,1,98.24,1850000.0,18831.43,,,Silverene Towers A,Unit,13-06-2018
101,Flat,Residential,Off-Plan Properties,Madinat Al Mataar,1-102-2020-87,Sales,Sell - Pre registration,The Pulse Residence Icon,Dubai South Residential District,Expo 2020 Site,,,Studio,1,37.14,320400.0,8626.82,,,The Pulse Residence Icon,Unit,06-01-2020
102,,Commercial,Existing Properties,Al Thanayah Fourth,2-110-2020-184,Mortgages,Lease to Own Registration,,Emirates Hills,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,,0,1976.68,10000000.0,5058.99,10000000.0,5058.99,,Villa,27-08-2020
