,property_sub_type_en,property_usage_en,reg_type_en,area_name_en,transaction_id,trans_group_en,procedure_name_en,project_name_en,master_project_en,nearest_landmark_en,nearest_metro_en,nearest_mall_en,rooms_en,has_parking,procedure_area,actual_worth,meter_sale_price,rent_value,meter_rent_price,building_name_en,property_type_en,instance_date
551,Flat,Residential,Existing Properties,Al Thanyah Fifth,1-11-2010-13991,Sales,Sell,,Jumeirah Lakes Towers,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,1 B/R,1,90.36,1016367.0,11247.97,,,Lakepoint N2,Unit,16-09-2010
552,Villa,Residential,Existing Properties,Wadi Al Safa 6,1-11-2020-7590,Sales,Sell,,Arabian Ranches - Al Reem 1,Global Village,,,3 B/R,0,359.06,2150000.0,5987.86,,,,Villa,14-09-2020
553,Flat,Residential,Off-Plan Properties,Al Jadaf,1-102-2022-15909,Sales,Sell - Pre registration,Farhad Azizi Residence,Dubai Health Care City Phase 2,Downtown Dubai,Healthcare City Metro Station,Dubai Mall,1 B/R,1,108.06,1121760.0,10380.9,,,Farhad Azizi Residence,Unit,15-06-2022
554,,Residential,Existing Properties,Al Warqa Third,2-13-2023-12731,Mortgages,Mortgage Registration,,,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,,0,1102.02,300000.0,272.23,,,,Villa,28-07-2023
555,Flat,Residential,Off-Plan Properties,Hadaeq Sheikh Mohammed Bin Rashid,1-102-2024-14365,Sales,Sell - Pre registration,Greenside Residence,DUBAI HILLS,IMG World Adventures,Noor Bank Metro Station,Mall of the Emirates,1 B/R,1,69.4,1497888.0,21583.4,,,Greenside Residence - Tower A,Unit,08-03-2024
556,Flat,Residential,Off-Plan Properties,Marsa Dubai,1-102-2008-45969,Sales,Sell - Pre registration,PARK ISLANDS,Dubai Marina,Burj Al Arab,Jumeirah Beach Resdency,Marina Mall,1 B/R,1,89.37,914888.0,10237.08,,,PARK ISLAND BONAIRE,Unit,03-03-2010
557,,Commercial,Existing Properties,Al Thanayah Fourth,1-11-2021-2722,Sales,Sell,,Meadows 1,Sports City Swimming Academy,Damac Properties,Marina Mall,,0,567.17,3900000.0,6876.25,,,,Villa,18-02-2021
558,Flat,Residential,Existing Properties,Al Kifaf,1-11-2023-21814,Sales,Sell,Park Gate Residences,Wasl 1,Burj Khalifa,Al Jafiliya Metro Station,Dubai Mall,2 B/R,1,189.66,2550000.0,13445.11,,,PARK GATE RESIDENCES 4,Unit,11-07-2023
559,Flat,Residential,Existing Properties,Jabal Ali First,2-110-2009-202023,Mortgages,Lease to Own Registration,,Discovery Gardens,Sports City Swimming Academy,Harbour Tower,Ibn-e-Battuta Mall,1 B/R,0,93.0,600408.0,6456.0,600408.0,6456.0,MED 46,Unit,15-09-2009
560,Flat,Residential,Existing Properties,Al Warsan First,1-11-2009-217002,Sales,Sell,,International City Phase 1,,Rashidiya Metro Station,City Centre Mirdif,Studio,0,43.0,230000.0,5348.84,,,Q-03,Unit,28-09-2009
561,Office,Commercial,Off-Plan Properties,Al Thanyah Fifth,1-102-2005-3085,Sales,Sell - Pre registration,AL MAS TOWER,Jumeirah Lakes Towers,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,,1,191.01,2532800.0,13260.04,,,ALMAS TOWER,Unit,16-02-2009
562,Flat,Residential,Off-Plan Properties,Al Hebiah Fourth,1-102-2015-8043,Sales,Sell - Pre registration,OASIS TOWER ONE,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,Studio,1,45.52,429461.0,9434.56,,,OASIS TOWER ONE,Unit,19-08-2015
563,,Other,Existing Properties,Al Warqa First,2-13-2021-14730,Mortgages,Mortgage Registration,,,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,,0,1955.2,40000000.0,20458.27,,,,Land,15-12-2021
564,Flat,Residential,Off-Plan Properties,Al Merkadh,1-102-2024-32035,Sales,Sell - Pre registration,Azizi Riviera 45,,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Studio,1,35.39,767250.0,21679.85,,,Azizi Riviera 45,Unit,14-05-2024
